category,job_title,job_skill_set
HR,Sr Human Resource Generalist,"['employee relations', 'talent acquisition', 'performance management', 'compensation and benefits', 'employment laws and regulations', 'analytical skills', 'employee benefits administration', 'hr policies and procedures', 'recruitment strategies', 'fmla', 'ada', 'communication', 'interpersonal skills', 'collaboration', 'influence', 'change management', 'professional development', 'payroll processing', 'job design', 'salary administration', 'human capital management system', 'hr audits and assessments', 'flsa', 'erisa', 'eeoc guidelines', 'confidentiality', 'intellectual curiosity']"
HR,Human Resources Manager,"['talent acquisition', 'employee performance management', 'legal compliance', 'payroll processing', 'microsoft office', 'policy development', 'training and development', 'background checks', 'collaboration', 'communication', 'problem solving', 'leadership', 'organizational skills', 'attention to detail', 'adaptability', 'shrm-cp certification']"
HR,Director of Human Resources,"['human resources management', 'recruitment', 'employee relations', 'performance management', 'compliance with labor laws', 'data management', 'training & development', 'payroll management', 'project management', 'computer skills', 'communication', 'team building', 'attention to detail', 'problem solving', 'conflict management', 'leadership', 'time management', 'collaboration', 'motivation', 'adaptability']"
HR,Chief Human Resources Officer,"['talent management', 'organizational development', 'hr compliance', 'hr technology systems', 'data-driven hr analytics', 'compensation and benefits strategies', 'strategic hr planning', 'workforce planning', 'employee development', 'performance management', 'leadership', 'communication', 'collaboration', 'creativity', 'inclusivity', 'change management', 'employee engagement', 'problem solving']"
HR,Human Resources Generalist (Hybrid Role),"['microsoft office', 'data analysis', 'employee onboarding', 'strategic thinking', 'problem solving', 'time management', 'attention to detail', 'communication', 'customer service', 'interpersonal skills', 'independence', 'hris systems', 'organizational development', 'change management', 'compliance reporting', 'performance management', 'job description creation', 'employee investigations', 'conflict negotiation', 'confidentiality']"
HR,Human Resources Manager,"['hr management', 'talent acquisition', 'labor compliance', 'employee relations', 'benefits administration', 'payroll management', 'safety procedures', 'communication', 'leadership', 'teamwork', 'problem solving', 'organizational skills', 'attention to detail', 'flexibility', 'positive attitude', 'self-starter', 'erp software', 'excel', 'o365 tools', 'discrepancy resolution', 'customer relations']"
HR,Human Resources Generalist,"['microsoft office', 'communication', 'attention to detail', 'professionalism', 'recruitment', 'training', 'onboarding', 'performance management', 'hris (ceridian/dayforce)', 'benefits administration', 'knowledge of hr laws', 'employee relations', 'time management', 'teamwork', 'confidentiality', 'stress management', 'initiative', 'relationship building', 'collaboration']"
HR,Human Resources Information System Specialist,"['adp hris', 'reporting', 'data compilation', 'excel', 'technology solutions', 'compliance knowledge', 'collaboration', 'communication', 'problem solving', 'recommendation making', 'attention to detail', 'self-management', 'organizational skills', 'data analysis', 'hr data metrics', 'data cleaning', 'data integration', 'hris configuration', 'business requirements gathering', 'workflow development']"
HR,Human Resources Generalist,"['recruitment', 'payroll administration', 'compliance', 'human resources management', 'policy adherence', 'manufacturing hr experience', 'interpersonal skills', 'communication', 'relationship building', 'onboarding', 'employee termination', 'benefits administration']"
HR,Human Resources Project Manager,"['project documentation', 'communication', 'stakeholder management', 'relationship building', 'problem solving', 'team collaboration', 'leadership', 'adaptability', 'hr project management', 'smartsheets', 'creating hr training programs', 'creating hr communications', 'managing complex employee events', 'change management', 'risk management', 'pmp certification', 'shrm-cp certification', 'confidentiality']"
HR,Human Resources Information System Partner III,"['hris configuration', 'data analysis', 'process improvement', 'communication', 'collaboration', 'problem solving', 'mentoring', 'customer service', 'diplomacy', 'consulting', 'ukg pro', 'ukg workforce management', 'business intelligence', 'cognos reporting', 'technical support']"
HR,Human Resources Specialist,"['hr administration', 'onboarding', 'policy development', ""bachelor's degree"", 'customer service', 'relationship building', 'problem solving', 'communication', 'self-motivation', 'teamwork', 'flexibility', 'autonomy', 'job description creation', 'hr consulting', 'crm management', 'reference checks', 'background checks', 'drug screenings', ""valid driver's license""]"
HR,Human Resources Generalist,"['hris systems', 'microsoft office', 'data analysis', 'project management', 'onboarding', 'training development', 'conflict resolution', 'communication', 'problem solving', 'relationship building', 'organizational skills', 'critical thinking', 'independent thinking', 'attention to detail', 'employment law', 'customer service']"
HR,Human Resources Coordinator,"['hr experience', 'hr systems (successfactors, workday, sap)', 'workforce planning', 'advanced excel', 'powerpoint', 'budget control', 'financial measures', 'hiring procedures', 'internal communication reporting', 'analytical skills', 'ability to thrive under pressure', 'multi-tasking', 'attention to detail', 'proactive', 'self-motivated', 'flexible attitude', 'collaboration', 'communication', 'international teamwork', 'spanish speaking']"
HR,Director of Human Resources,"['human resources management', 'employee relations', 'compliance with labor laws', 'ms office', 'hris systems', 'training and development', 'policy development', 'recruitment strategies', 'data analysis', 'project management', 'communication', 'leadership', 'organizational skills', 'teamwork', 'problem solving', 'confidentiality', 'flexibility', 'mentoring', 'interpersonal skills', 'adaptability']"
HR,Human Resources Generalist,"['employee relations', 'training', 'employment', 'benefits management', 'payroll functions', 'microsoft excel', 'microsoft word', 'budget management', 'reporting', 'pre-employment screening', 'onboarding', 'communication', 'problem solving', 'detail-oriented', 'multi-tasking', 'interpersonal skills', 'flexibility', 'teamwork', 'time management', 'customer service', 'compliance', 'hris software', 'microsoft outlook', 'iso standards', 'patience']"
HR,Human Resources Assistant,"['human resources', 'microsoft office', 'organizational skills', 'clerical skills', 'communication', 'customer service', 'proactive problem solving', 'professional attitude', 'team support', 'e-verify system', 'bilingual (english/spanish)']"
HR,Junior Human Resources Consultant,"['microsoft word', 'microsoft powerpoint', 'microsoft excel', 'hris', 'pivot tables', 'vlookup', 'communication', 'attention to detail', 'professionalism', 'teamwork', 'positive attitude', 'adaptability']"
HR,Human Resources Business Partner,"['industrial relations', 'human resources management', 'employee relations', 'project management', 'data analysis', 'negotiation', 'hr operational planning', 'people development', 'communication', 'relationship building', 'problem solving', 'collaboration', 'strategic thinking', 'leadership', 'adaptability', 'influence', 'empathy', 'organizational design', 'compliance', 'cultural awareness']"
HR,Human Resources Solutions Manager,"['project management', 'data analysis', 'business acumen', 'employee engagement strategies', 'leadership', 'collaboration', 'communication', 'problem solving', 'strategic agility', 'time management', 'adaptability', 'self-motivation', 'continuous improvement mindset', 'agile methodologies', 'organizational change management', 'risk analysis']"
HR,Human Resources Generalist,"['payroll administration', 'hr laws and regulations', 'employee benefits administration', 'onboarding and offboarding processes', 'communication', 'organizational skills', 'teamwork', 'discretion', 'independence', 'problem solving', 'compliance auditing', 'report generation', 'documentation management', 'attention to detail']"
HR,Human Resources Generalist,"['hris', 'labor laws', 'policy development', 'performance management', 'talent acquisition', 'onboarding', 'digital tools', 'conflict resolution', 'communication', 'interpersonal skills', 'problem solving', 'organizational skills', 'change management', 'team collaboration', 'relationship building', 'attention to detail', 'hcm', 'hrms', 'training program design']"
HR,Supervisory Human Resources Specialist,"['human resources management', 'employee training and development', 'human resource theories and principles', 'performance measurement', 'data analysis', 'leadership', 'communication', 'team management', 'problem solving', 'interpersonal skills', 'confidentiality', 'collaboration', 'adaptability', 'decision making', 'compensation and benefits', 'policy development', 'standard operating procedures (sops)', 'budget preparation', 'regulatory compliance', 'strategic thinking']"
HR,Human Resources Coordinator - A&F Co.,"['ms office', 'excel', 'data management', 'attention to detail', 'organizational skills', 'communication', 'teamwork', 'adaptability', 'confidentiality', 'problem solving', 'self-motivation', 'logistics coordination', 'scheduling']"
HR,Human Resources Recruiter,"['human resources', 'computer proficiency', 'communication', 'relationship building', 'teamwork', 'problem solving', 'accountability', 'commitment', 'adaptability', 'recruiting', 'background checks', 'interviewing skills', 'ats (applicant tracking system)', 'word processing software', 'spreadsheet software', 'eeo/aap legislation', 'business english', 'integrity']"
HR,Human Resources Intern,"['microsoft excel', 'microsoft powerpoint', 'microsoft word', 'project management', 'communication', 'time management', 'organizational skills', 'critical thinking', 'decision making', 'microsoft outlook', 'social media marketing', 'crm management', 'confidentiality']"
HR,Human Resources Manager,"['human resources management', 'recruitment', 'employee relations', 'hris', 'payroll management', 'compensation analysis', 'benefits administration', 'training and development', 'microsoft office', 'compliance with labor laws', 'market analysis', 'leadership', 'communication', 'problem solving', 'team building', 'collaboration', 'conflict resolution', 'adaptability', 'interpersonal skills', 'organizational skills', 'strategic thinking', 'workday']"
HR,Chief Human Resource Officer,"['hr management', 'employee relations', 'compliance', 'talent acquisition', 'training program design', 'performance management', 'regulatory compliance', 'employee orientation', 'professional development', 'communication', 'leadership', 'interpersonal skills', 'problem solving', 'time management', 'teamwork', 'integrity', 'approachability', 'adaptability', 'professionalism', 'attention to detail', 'delegation', 'budget management', 'hr policies development', 'compensation planning', 'hris', 'data analysis', 'conflict resolution', 'safety training', 'background checks', 'employee benefits administration', 'workplace culture improvement', 'organizational strategy development', 'payroll management', 'hr audits', 'analytical skills', 'negotiation', 'conflict management']"
HR,Human Resources Assistant,"['hris', 'payroll software', 'time management', 'communication skills', 'interpersonal skills', 'problem solving', 'organizational skills', 'self-motivation', 'attention to detail', 'customer focus', 'planning & organizing', 'critical thinking', 'microsoft office suite', 'analytical skills', 'mathematical skills', 'bilingual (chinese/spanish)']"
HR,Human Resources Generalist,"[""bachelor's degree"", 'hrbp experience', 'business acumen', 'workforce/talent strategy development', 'organizational effectiveness', 'microsoft office', 'talent acquisition', 'performance management', 'collaboration', 'interpersonal skills', 'adaptability', 'influencing senior leaders', 'relationship building', 'communication', 'hris systems (workday)', 'excel', 'pivot tables', 'active listening', 'agility', 'empathy', 'flexibility']"
HR,Principal Human Resources Business Partner,"['employee relations', 'hr generalist', 'talent management', 'compensation', 'benefits administration', 'training and development', 'project management', 'ms office suite', 'oracle', 'report preparation', 'decision making', 'confidentiality', 'communication', 'problem solving', 'collaboration', 'change management', 'judgment', 'adaptability', 'leadership', 'eeo compliance', 'peoplesoft', 'coaching', 'hybrid work management', 'cultural awareness', 'diversity and inclusion advocacy']"
HR,Human Resources Business Partner,"['hr policies', 'employee relations', 'performance management', 'organizational development', 'compensation practices', 'recruiting', 'learning and development', 'data analysis', 'communication', 'collaboration', 'coaching', 'problem solving', 'growth mindset', 'leadership', 'strategic thinking', 'engagement', 'adaptability', 'federal employment laws', 'state employment laws']"
HR,Human Resources Director,"['human resources management', 'recruitment', 'employee engagement', 'performance management', 'team building', 'hr strategy development', 'data analysis', 'agriculture sector knowledge', 'leadership', 'communication', 'interpersonal skills', 'collaboration', 'problem solving', 'adaptability', 'continuous learning', 'professional development programs', 'sourcing strategies', 'technology start-up experience', 'cultural awareness']"
HR,Human Resources Specialist,"['hr practices', 'regulatory compliance', 'payroll administration', 'adp workforce now', 'data management', 'office management', 'event coordination', 'training and development', 'communication', 'interpersonal skills', 'organizational skills', 'attention to detail', 'problem-solving', 'multitasking', 'confidentiality', 'adaptability', 'teamwork', 'employment laws', 'budget management']"
HR,Human Resources Assistant,"['hr rules and regulations', 'office clerical work', 'microsoft word', 'microsoft excel', 'internet applications', 'email communication', 'personnel policies', 'administrative support', 'communication', 'collaboration', 'problem solving', 'customer service', 'supervision', 'attention to detail']"
HR,Administrative Assistant - Human Resources,"['computer skills', 'administrative support', 'data entry', 'problem-solving', 'critical thinking', 'multi-tasking', 'communication', 'teamwork', 'organization', 'customer service', 'confidentiality', 'microsoft suite']"
HR,Human Resources Manager,"['human resource management', 'labor laws', 'performance management', 'recruitment', 'training and development', 'hr metrics', 'strategic planning', 'leadership', 'communication', 'interpersonal skills', 'problem solving', 'collaboration', 'impartial judgment', 'employee relations', 'adaptability', 'conflict resolution', 'payroll processing', 'negotiation', 'bilingual']"
HR,Human Resources Business Partner,"['employee relations', 'performance management', 'talent management', 'regulatory compliance', 'payroll administration', 'data management software', 'federal and state laws', 'recruiting', 'hr metrics tracking', 'hr best practices', 'communication', 'customer service', 'teamwork', 'problem solving', 'analytical skills', 'attention to detail', 'leadership', 'succession planning', 'compensation administration', 'change leadership', 'coaching', 'mentoring', 'engagement strategies']"
HR,Human Resources Generalist,"['hr compliance', 'recordkeeping', 'employee relations', 'talent acquisition', 'onboarding', 'offboarding', 'ms office suite', 'hr policies interpretation', 'confidential information management', 'employment law knowledge', 'project management', 'data analysis', 'communication', 'customer focus', 'multitasking', 'teamwork', 'flexibility', 'attention to detail', 'problem solving', 'relationship building', 'presentation skills', 'positive attitude', 'discretion']"
HR,Human Resources Manager,"['hr strategies', 'recruitment', 'onboarding', 'employee relations', 'benefits administration', 'legal compliance', 'training and development', 'hr records management', 'employment laws', 'hr certification (shrm-cp, phr)', 'communication', 'interpersonal skills', 'collaboration', 'problem solving', 'diversity and inclusion', 'union relations']"
HR,Human Resources Support Analyst ISA I-D,"['human resources', 'microsoft office suite', 'report writing', 'administrative tasks', 'policy development', 'communication', 'attention to detail', 'teamwork', 'organizational skills', 'problem solving', 'time management', 'adaptability', 'data analysis', 'recruitment processes', 'confidentiality', 'job analysis', 'analytics', 'logical thinking']"
HR,Human Resources Coordinator | Corpus Christi Bayfront,"['confidential file management', 'recruitment', 'data entry', 'computer skills', 'background checks', 'employee onboarding', 'time and attendance systems', 'hr policies compliance', 'record keeping', 'communication', 'organization', 'flexibility', 'problem solving', 'stress management', 'independence', 'customer service', 'teamwork', 'attention to detail', 'interpersonal skills', 'bilingual (english and spanish)']"
HR,Sr. Human Resources Specialist for Title IX and Employee Relations,"['employee relations', 'federal and state laws', 'policy development', 'documentation management', 'communication', 'confidentiality', 'attention to detail', 'teamwork', 'problem solving', 'time management', 'presentation skills', 'collaboration', 'title ix certification', 'investigation procedures', 'microsoft office suite']"
HR,Human Resources Manager - Bilingual (Spanish) ,"['bilingual (spanish/english)', 'payroll administration', 'microsoft office (excel, powerpoint, word)', 'data input', 'analytics', 'compliance with hr policies and laws', 'communication skills', 'problem-solving', 'analytical skills', 'interpersonal skills', 'customer service orientation', 'collaboration', 'organization', 'positive demeanor', 'relationship building', 'hris', 'ats', 'learning and development', 'presentations', 'creativity']"
